Tract,Total,Hispanic or Latino,Not Hispanic or Latino,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Total parcels,Occupied,Vacant,Poverty status determined total,Below poverty level!,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Occupied (%),Vacant (%),Hispanic or Latino (%),Not Hispanic or Latino (%),Population of one race (%),White alone (%),Black or African American alone (%),American Indian and Alaska Native alone (%),Asian alone (%),Native Hawaiian and Other Pacific Islander alone (%),Some Other Race alone (%),Population of two or more races (%),Below poverty level (%),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%)
5628,"1,516",48,"1,468","1,352","1,078",146,5,118,0,5,116,2379,2217,162,1543,195,96,115,51,58,64,85,171,119,79,72,116,106,99,127,51,74,39,61,93%,7%,3%,97%,89%,71%,10%,0%,8%,0%,0%,8%,13%,6%,8%,3%,4%,4%,6%,11%,8%,5%,5%,8%,7%,7%,8%,3%,5%,3%,4%
5630,"2,928",115,"2,813","2,637","1,368","1,044",5,198,3,19,176,4287,3903,384,3179,464,230,315,49,30,163,370,295,193,242,221,55,275,195,138,182,72,44,110,91%,9%,4%,96%,90%,47%,36%,0%,7%,0%,1%,6%,15%,8%,11%,2%,1%,6%,13%,10%,7%,8%,8%,2%,9%,7%,5%,6%,2%,2%,4%
5631,"3,722",131,"3,591","3,444","2,509",298,2,596,0,39,147,5181,4908,273,3509,89,308,197,67,112,145,281,384,353,158,101,176,239,420,220,192,52,78,26,95%,5%,4%,96%,93%,67%,8%,0%,16%,0%,1%,4%,3%,8%,5%,2%,3%,4%,8%,10%,9%,4%,3%,5%,6%,11%,6%,5%,1%,2%,1%
5633,"1,546",29,"1,517","1,481","1,381",25,0,57,0,18,36,1872,1725,147,1413,16,70,69,99,110,47,18,53,72,82,85,144,84,117,120,112,94,28,23,92%,8%,2%,98%,96%,89%,2%,0%,4%,0%,1%,2%,1%,5%,4%,6%,7%,3%,1%,3%,5%,5%,5%,9%,5%,8%,8%,7%,6%,2%,1%
5638,"3,881",73,"3,808","3,693","3,591",54,0,33,1,14,115,5652,5334,318,3395,93,132,143,198,170,142,44,114,181,181,152,194,228,291,249,150,245,284,526,94%,6%,2%,98%,95%,93%,1%,0%,1%,0%,0%,3%,3%,3%,4%,5%,4%,4%,1%,3%,5%,5%,4%,5%,6%,7%,6%,4%,6%,7%,14%
5639,"3,891",108,"3,783","3,596","2,741",775,4,53,0,23,187,6321,5739,582,3955,248,385,195,146,46,198,320,443,285,255,329,207,238,283,232,137,123,53,80,91%,9%,3%,97%,92%,70%,20%,0%,1%,0%,1%,5%,6%,10%,5%,4%,1%,5%,8%,11%,7%,7%,8%,5%,6%,7%,6%,4%,3%,1%,2%
5640,"7,121",166,"6,955","6,720","6,450",115,3,140,5,7,235,9042,8487,555,7361,160,591,564,523,342,226,494,525,603,575,460,508,364,706,328,166,171,101,114,94%,6%,2%,98%,94%,91%,2%,0%,2%,0%,0%,3%,2%,8%,8%,7%,5%,3%,7%,7%,8%,8%,6%,7%,5%,10%,5%,2%,2%,1%,2%
5641,907,16,891,867,851,3,0,11,0,2,24,1125,1101,24,961,7,51,64,58,41,10,32,37,65,62,55,59,57,70,62,56,34,43,105,98%,2%,2%,98%,96%,94%,0%,0%,1%,0%,0%,3%,1%,6%,7%,6%,5%,1%,4%,4%,7%,7%,6%,7%,6%,8%,7%,6%,4%,5%,12%
5642,"2,094",60,"2,034","1,984","1,896",64,0,10,2,12,50,3309,3126,183,1996,79,33,61,136,115,32,112,107,120,50,79,133,229,315,212,123,84,54,70,94%,6%,3%,97%,95%,91%,3%,0%,0%,0%,1%,2%,4%,2%,3%,6%,5%,2%,5%,5%,6%,2%,4%,6%,11%,15%,10%,6%,4%,3%,3%
5644,"5,631",82,"5,549","5,307","4,748",499,5,37,2,16,242,9162,8394,768,5539,351,153,161,219,335,248,140,165,368,264,521,317,358,434,526,520,224,305,309,92%,8%,1%,99%,94%,84%,9%,0%,1%,0%,0%,4%,6%,3%,3%,4%,6%,4%,2%,3%,7%,5%,9%,6%,6%,8%,9%,9%,4%,5%,5%
5645,"3,032",36,"2,996","2,884","2,842",31,0,10,0,1,112,3963,3684,279,2986,108,74,223,121,254,373,108,93,110,354,211,179,279,143,230,64,62,74,45,93%,7%,1%,99%,95%,94%,1%,0%,0%,0%,0%,4%,4%,2%,7%,4%,8%,12%,4%,3%,4%,12%,7%,6%,9%,5%,8%,2%,2%,2%,1%
5647,"2,184",81,"2,103","1,953",464,"1,441",9,13,0,26,150,4533,3288,1245,2454,695,148,86,201,113,140,325,366,133,171,123,116,161,131,148,39,11,24,89,73%,27%,4%,96%,89%,21%,66%,0%,1%,0%,1%,7%,28%,7%,4%,9%,5%,6%,15%,17%,6%,8%,6%,5%,7%,6%,7%,2%,1%,1%,4%
5648,"1,819",40,"1,779","1,690",144,"1,532",4,5,0,5,89,3372,2631,741,1636,475,46,203,149,34,144,73,126,32,35,56,112,104,145,102,41,158,49,27,78%,22%,2%,98%,93%,8%,84%,0%,0%,0%,0%,5%,29%,3%,11%,8%,2%,8%,4%,7%,2%,2%,3%,6%,6%,8%,6%,2%,9%,3%,1%
5651,"2,972",104,"2,868","2,745","1,767",903,5,56,0,14,123,5583,4656,927,2933,820,199,211,107,38,27,405,405,235,239,84,226,172,165,156,75,96,41,70,83%,17%,3%,97%,92%,59%,30%,0%,2%,0%,0%,4%,28%,7%,7%,4%,1%,1%,14%,14%,8%,8%,3%,8%,6%,6%,5%,3%,3%,1%,2%
5652,"2,740",68,"2,672","2,567",799,"1,710",7,31,0,20,105,4698,4119,579,3110,438,140,90,136,124,288,192,417,240,227,108,388,178,169,120,103,64,93,33,88%,12%,2%,98%,94%,29%,62%,0%,1%,0%,1%,4%,14%,5%,3%,5%,5%,11%,7%,15%,9%,8%,4%,14%,6%,6%,4%,4%,2%,3%,1%
5653,"1,238",11,"1,227","1,166",993,150,0,11,0,12,61,1737,1599,138,1291,329,115,55,29,86,33,29,139,51,102,103,73,90,81,70,128,49,51,7,92%,8%,1%,99%,94%,80%,12%,0%,1%,0%,1%,5%,25%,9%,4%,2%,7%,3%,2%,11%,4%,8%,8%,6%,7%,7%,6%,10%,4%,4%,1%
9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9801,8,1,7,5,5,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0%,13%,88%,63%,63%,0%,0%,0%,0%,0%,25%,#DIV/0!,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9804,13,0,13,12,11,1,0,0,0,0,1,39,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92%,8%,0%,100%,92%,85%,8%,0%,0%,0%,0%,8%,#DIV/0!,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9805,18,0,18,17,16,0,0,1,0,0,1,39,15,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,38%,62%,0%,100%,94%,89%,0%,0%,6%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,28%,28%,22%,0%,0%,0%
9806,19,4,15,14,12,0,0,2,0,0,1,9,3,6,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,33%,67%,21%,79%,74%,63%,0%,0%,11%,0%,0%,5%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,0%,0%,0%,0%,0%,0%,0%
9807,29,2,27,25,22,3,0,0,0,0,2,81,39,42,98,5,0,5,0,0,19,36,0,10,11,6,6,0,5,0,0,0,0,0,48%,52%,7%,93%,86%,76%,10%,0%,0%,0%,0%,7%,5%,0%,17%,0%,0%,66%,124%,0%,34%,38%,21%,21%,0%,17%,0%,0%,0%,0%,0%
9808,3,1,2,1,0,0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0%,33%,67%,33%,0%,0%,0%,33%,0%,0%,33%,#DIV/0!,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,8,0,8,10,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9810,4,1,3,3,3,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,100%,25%,75%,75%,75%,0%,0%,0%,0%,0%,0%,#DIV/0!,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9818,314,5,309,307,244,57,0,5,0,1,2,6,0,6,56,34,0,8,8,76,29,0,6,0,3,0,0,8,22,11,26,29,45,73,0%,100%,2%,98%,98%,78%,18%,0%,2%,0%,0%,1%,61%,0%,3%,3%,24%,9%,0%,2%,0%,1%,0%,0%,3%,7%,4%,8%,9%,14%,23%
9822,"5,022",103,"4,919","4,817","3,742",546,42,297,0,190,102,201,186,15,22,14,0,0,0,4377,1258,11,0,5,0,0,0,5,0,0,0,0,0,0,93%,7%,2%,98%,96%,75%,11%,1%,6%,0%,4%,2%,64%,0%,0%,0%,87%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10301,"1,807",48,"1,759","1,753",545,"1,199",3,6,0,0,6,0,0,0,0,0,0,0,0,34,241,413,269,282,161,178,100,123,32,24,32,0,0,0,#DIV/0!,#DIV/0!,3%,97%,97%,30%,66%,0%,0%,0%,0%,0%,#DIV/0!,0%,0%,0%,2%,13%,23%,15%,16%,9%,10%,6%,7%,2%,1%,2%,0%,0%,0%
10302,"4,075",283,"3,792","3,684","2,876",648,33,116,0,11,108,1437,1173,264,753,286,21,0,40,2311,1715,45,135,44,102,18,21,44,27,24,19,21,0,0,82%,18%,7%,93%,90%,71%,16%,1%,3%,0%,0%,3%,38%,1%,0%,1%,57%,42%,1%,3%,1%,3%,0%,1%,1%,1%,1%,0%,1%,0%,0%
407001,"5,586",100,"5,486","5,346","5,295",13,5,25,1,7,140,7704,7269,435,5633,459,499,138,78,195,161,408,355,269,158,320,441,494,554,413,372,220,288,272,94%,6%,2%,98%,96%,95%,0%,0%,0%,0%,0%,3%,8%,9%,2%,1%,3%,3%,7%,6%,5%,3%,6%,8%,9%,10%,7%,7%,4%,5%,5%
407002,"6,676",83,"6,593","6,450","6,380",38,3,18,0,11,143,8607,8232,375,6468,497,283,234,467,252,155,315,524,361,287,489,435,583,517,583,499,281,133,197,96%,4%,1%,99%,97%,96%,1%,0%,0%,0%,0%,2%,8%,4%,4%,7%,4%,2%,5%,8%,5%,4%,7%,7%,9%,8%,9%,7%,4%,2%,3%
408001,"5,633",92,"5,541","5,320","5,093",36,2,159,0,30,221,6978,6510,468,5548,550,304,429,208,291,294,145,236,466,210,473,402,385,391,609,250,268,99,190,93%,7%,2%,98%,94%,90%,1%,0%,3%,0%,1%,4%,10%,5%,8%,4%,5%,5%,3%,4%,8%,4%,8%,7%,7%,7%,11%,4%,5%,2%,3%
408002,"6,309",99,"6,210","6,050","5,815",46,5,166,0,18,160,7266,7074,192,6186,172,177,534,415,330,212,265,203,443,369,261,411,474,462,438,655,326,148,63,97%,3%,2%,98%,96%,92%,1%,0%,3%,0%,0%,3%,3%,3%,8%,7%,5%,3%,4%,3%,7%,6%,4%,7%,8%,7%,7%,10%,5%,2%,1%
409001,"9,192",258,"8,934","8,606","7,719",144,6,677,4,56,328,10089,9648,441,9301,499,802,734,671,316,474,678,683,640,699,521,818,757,488,418,287,273,33,32,96%,4%,3%,97%,94%,84%,2%,0%,7%,0%,1%,4%,5%,9%,8%,7%,3%,5%,7%,7%,7%,8%,6%,9%,8%,5%,5%,3%,3%,0%,0%
409002,"5,499",182,"5,317","5,080","4,660",75,5,326,2,12,237,5193,4980,213,5659,0,281,508,550,534,148,232,199,331,567,493,522,379,431,234,160,34,43,13,96%,4%,3%,97%,92%,85%,1%,0%,6%,0%,0%,4%,0%,5%,9%,10%,10%,3%,4%,4%,6%,10%,9%,9%,7%,8%,4%,3%,1%,1%,0%
411001,"4,004",128,"3,876","3,733","3,079",42,1,599,0,12,143,4029,3921,108,4097,37,228,146,288,539,213,115,187,250,215,333,525,396,279,116,189,60,18,0,97%,3%,3%,97%,93%,77%,1%,0%,15%,0%,0%,4%,1%,6%,4%,7%,13%,5%,3%,5%,6%,5%,8%,13%,10%,7%,3%,5%,1%,0%,0%
411002,"6,076",233,"5,843","5,643","4,333",99,6,"1,187",2,16,200,7374,6906,468,5962,309,173,504,593,296,188,244,416,338,642,573,300,298,250,554,377,139,59,76,94%,6%,4%,96%,93%,71%,2%,0%,20%,0%,0%,3%,5%,3%,8%,10%,5%,3%,4%,7%,6%,11%,9%,5%,5%,4%,9%,6%,2%,1%,1%
412002,"4,865",97,"4,768","4,628","3,946",58,4,596,3,21,140,5019,4902,117,4784,73,223,371,438,275,75,203,535,238,459,386,322,269,273,273,200,127,39,78,98%,2%,2%,98%,95%,81%,1%,0%,12%,0%,0%,3%,2%,5%,8%,9%,6%,2%,4%,11%,5%,9%,8%,7%,6%,6%,6%,4%,3%,1%,2%
412003,"6,312",132,"6,180","5,983","5,016",79,9,848,6,25,197,6729,6576,153,6424,25,517,511,387,591,191,110,387,419,521,453,525,525,307,412,312,108,113,35,98%,2%,2%,98%,95%,79%,1%,0%,13%,0%,0%,3%,0%,8%,8%,6%,9%,3%,2%,6%,7%,8%,7%,8%,8%,5%,7%,5%,2%,2%,1%
412004,"4,302",77,"4,225","4,075","2,828",50,3,"1,174",0,20,150,4920,4650,270,4065,43,174,280,444,245,138,162,166,231,359,304,369,372,273,193,172,56,79,48,95%,5%,2%,98%,95%,66%,1%,0%,27%,0%,0%,3%,1%,4%,7%,10%,6%,3%,4%,4%,5%,8%,7%,9%,9%,6%,4%,4%,1%,2%,1%
413201,"3,826",68,"3,758","3,661","3,449",68,2,139,2,1,97,4983,4770,213,3922,163,340,250,129,245,196,280,229,372,167,229,264,156,256,317,222,105,62,103,96%,4%,2%,98%,96%,90%,2%,0%,4%,0%,0%,3%,4%,9%,7%,3%,6%,5%,7%,6%,10%,4%,6%,7%,4%,7%,8%,6%,3%,2%,3%
413202,"2,860",56,"2,804","2,708","2,589",17,0,91,0,11,96,3822,3672,150,2723,62,134,92,149,93,128,114,229,207,161,128,207,167,164,232,316,50,122,30,96%,4%,2%,98%,95%,91%,1%,0%,3%,0%,0%,3%,2%,5%,3%,5%,3%,4%,4%,8%,7%,6%,4%,7%,6%,6%,8%,11%,2%,4%,1%
414101,"5,499",70,"5,429","5,303","5,099",50,3,138,1,12,126,6450,6279,171,5474,299,346,358,379,224,252,384,309,385,327,214,374,475,613,326,311,107,54,96,97%,3%,1%,99%,96%,93%,1%,0%,3%,0%,0%,2%,5%,6%,7%,7%,4%,5%,7%,6%,7%,6%,4%,7%,9%,11%,6%,6%,2%,1%,2%
414102,"7,044",146,"6,898","6,731","6,405",62,2,240,3,19,167,9312,8706,606,6988,265,386,516,432,380,181,281,410,492,360,425,516,416,536,526,313,356,286,176,93%,7%,2%,98%,96%,91%,1%,0%,3%,0%,0%,2%,4%,5%,7%,6%,5%,3%,4%,6%,7%,5%,6%,7%,6%,8%,7%,4%,5%,4%,2%
415001,"4,650",106,"4,544","4,406","3,997",82,7,305,2,13,138,5319,4932,387,4629,246,236,319,271,450,146,205,286,274,336,396,288,426,362,324,156,162,61,49,93%,7%,2%,98%,95%,86%,2%,0%,7%,0%,0%,3%,5%,5%,7%,6%,10%,3%,4%,6%,6%,7%,9%,6%,9%,8%,7%,3%,3%,1%,1%
415002,"2,604",60,"2,544","2,429","2,306",22,0,94,0,7,115,3138,2955,183,2510,100,109,189,125,124,47,101,151,165,172,156,173,235,123,208,203,106,47,89,94%,6%,2%,98%,93%,89%,1%,0%,4%,0%,0%,4%,4%,4%,7%,5%,5%,2%,4%,6%,6%,7%,6%,7%,9%,5%,8%,8%,4%,2%,3%
429201,"4,941",105,"4,836","4,737","4,000",110,7,599,2,19,99,6432,6054,378,4733,233,323,233,309,169,142,235,460,363,344,261,261,404,398,381,249,187,114,121,94%,6%,2%,98%,96%,81%,2%,0%,12%,0%,0%,2%,5%,7%,5%,6%,3%,3%,5%,9%,7%,7%,5%,5%,8%,8%,8%,5%,4%,2%,2%
429202,"4,605",100,"4,505","4,342","4,142",49,1,130,1,19,163,5919,5721,198,4399,275,158,313,386,137,180,219,197,248,352,300,204,297,331,414,318,210,87,55,97%,3%,2%,98%,94%,90%,1%,0%,3%,0%,0%,4%,6%,3%,7%,8%,3%,4%,5%,4%,5%,8%,7%,4%,6%,7%,9%,7%,5%,2%,1%
451101,"3,792",96,"3,696","3,568","3,358",110,0,86,2,12,128,4833,4629,204,3555,82,184,179,173,204,125,128,212,197,208,251,325,326,135,296,310,134,65,137,96%,4%,3%,97%,94%,89%,3%,0%,2%,0%,0%,3%,2%,5%,5%,5%,5%,3%,3%,6%,5%,5%,7%,9%,9%,4%,8%,8%,4%,2%,4%
451102,"6,047",517,"5,530","5,268","4,394",592,14,245,0,23,262,6660,6174,486,5084,163,234,367,393,1133,971,284,217,534,122,416,380,204,330,251,297,199,44,115,93%,7%,9%,91%,87%,73%,10%,0%,4%,0%,0%,4%,3%,4%,6%,6%,19%,16%,5%,4%,9%,2%,7%,6%,3%,5%,4%,5%,3%,1%,2%
451104,"3,966",82,"3,884","3,703","3,428",109,0,159,1,6,181,4200,4170,30,3921,29,371,333,180,147,244,85,245,418,188,211,381,230,245,134,196,185,119,9,99%,1%,2%,98%,93%,86%,3%,0%,4%,0%,0%,5%,1%,9%,8%,5%,4%,6%,2%,6%,11%,5%,5%,10%,6%,6%,3%,5%,5%,3%,0%
451105,"5,625",242,"5,383","5,092","4,103",402,10,540,2,35,291,7746,7116,630,5618,270,222,195,236,326,607,1122,237,283,522,363,238,546,242,297,108,107,86,71,92%,8%,4%,96%,91%,73%,7%,0%,10%,0%,1%,5%,5%,4%,3%,4%,6%,11%,20%,4%,5%,9%,6%,4%,10%,4%,5%,2%,2%,2%,1%
453003,"2,184",26,"2,158","2,086","1,988",53,8,16,1,20,72,2301,2166,135,1824,104,65,41,104,206,157,65,145,35,102,122,163,232,226,127,88,44,40,27,94%,6%,1%,99%,96%,91%,2%,0%,1%,0%,1%,3%,6%,3%,2%,5%,9%,7%,3%,7%,2%,5%,6%,7%,11%,10%,6%,4%,2%,2%,1%
453004,"7,258",251,"7,007","6,708","5,991",337,4,331,3,42,299,10335,9789,546,7245,456,202,480,428,291,300,581,807,434,884,470,270,480,466,527,258,227,119,55,95%,5%,3%,97%,92%,83%,5%,0%,5%,0%,1%,4%,6%,3%,7%,6%,4%,4%,8%,11%,6%,12%,6%,4%,7%,6%,7%,4%,3%,2%,1%
456001,"4,679",81,"4,598","4,392","3,855",68,10,453,0,6,206,5070,4833,237,4561,149,356,398,353,326,93,123,311,396,369,233,337,379,317,306,143,66,45,10,95%,5%,2%,98%,94%,82%,1%,0%,10%,0%,0%,4%,3%,8%,9%,8%,7%,2%,3%,7%,8%,8%,5%,7%,8%,7%,7%,3%,1%,1%,0%
456003,"8,059",161,"7,898","7,661","6,088",153,8,"1,393",0,19,237,8892,8565,327,7593,216,328,771,843,431,68,178,386,722,712,581,670,482,459,320,192,198,141,131,96%,4%,2%,98%,95%,76%,2%,0%,17%,0%,0%,3%,3%,4%,10%,10%,5%,1%,2%,5%,9%,9%,7%,8%,6%,6%,4%,2%,2%,2%,2%
456004,"5,620",121,"5,499","5,329","4,728",148,7,419,3,24,170,7308,6963,345,5810,221,380,288,357,325,315,246,393,338,306,232,491,385,389,366,436,208,118,581,95%,5%,2%,98%,95%,84%,3%,0%,7%,0%,0%,3%,4%,7%,5%,6%,6%,6%,4%,7%,6%,5%,4%,9%,7%,7%,7%,8%,4%,2%,10%
458001,"4,333",103,"4,230","4,091","3,657",97,4,306,4,23,139,6357,5817,540,4273,242,187,143,288,270,128,222,132,224,299,358,189,378,333,404,438,125,27,128,92%,8%,2%,98%,94%,84%,2%,0%,7%,0%,1%,3%,6%,4%,3%,7%,6%,3%,5%,3%,5%,7%,8%,4%,9%,8%,9%,10%,3%,1%,3%
458002,"4,602",48,"4,554","4,445","4,287",55,1,76,1,25,109,6210,5907,303,4620,172,283,256,168,94,75,84,411,376,280,315,259,298,427,484,351,170,189,116,95%,5%,1%,99%,97%,93%,1%,0%,2%,0%,1%,2%,4%,6%,6%,4%,2%,2%,2%,9%,8%,6%,7%,6%,6%,9%,11%,8%,4%,4%,3%
459101,"1,733",33,"1,700","1,637","1,459",144,3,19,0,12,63,2130,2019,111,1722,272,161,89,134,107,32,149,146,73,62,86,80,142,176,64,28,115,47,31,95%,5%,2%,98%,94%,84%,8%,0%,1%,0%,1%,4%,16%,9%,5%,8%,6%,2%,9%,8%,4%,4%,5%,5%,8%,10%,4%,2%,7%,3%,2%
459102,"6,426",168,"6,258","6,077","5,550",164,4,336,0,23,181,8037,7674,363,6371,296,224,477,211,375,126,318,177,718,183,467,600,389,560,619,493,176,162,96,95%,5%,3%,97%,95%,86%,3%,0%,5%,0%,0%,3%,5%,3%,7%,3%,6%,2%,5%,3%,11%,3%,7%,9%,6%,9%,10%,8%,3%,3%,1%
459201,"7,344",222,"7,122","6,866","6,110",283,6,427,0,40,256,11433,10359,1074,7280,344,465,198,307,365,576,745,790,678,400,468,304,360,355,419,589,159,75,107,91%,9%,3%,97%,93%,83%,4%,0%,6%,0%,1%,3%,5%,6%,3%,4%,5%,8%,10%,11%,9%,5%,6%,4%,5%,5%,6%,8%,2%,1%,1%
459202,677,10,667,651,629,12,0,10,0,0,16,1497,1410,87,672,65,5,0,25,11,52,67,74,103,17,36,28,33,84,46,43,31,15,2,94%,6%,1%,99%,96%,93%,2%,0%,1%,0%,0%,2%,10%,1%,0%,4%,2%,8%,10%,11%,15%,3%,5%,4%,5%,12%,7%,6%,5%,2%,0%
460001,"4,925",89,"4,836","4,702","4,497",123,2,65,0,15,134,6474,6309,165,4783,295,178,281,200,117,98,291,149,412,242,306,290,371,789,156,363,237,180,178,97%,3%,2%,98%,95%,91%,2%,0%,1%,0%,0%,3%,6%,4%,6%,4%,2%,2%,6%,3%,8%,5%,6%,6%,8%,16%,3%,7%,5%,4%,4%
460002,"3,776",52,"3,724","3,613","3,329",199,0,70,0,15,111,5334,5085,249,3730,399,226,182,250,168,129,184,213,334,225,175,234,209,255,273,190,305,164,23,95%,5%,1%,99%,96%,88%,5%,0%,2%,0%,0%,3%,11%,6%,5%,7%,4%,3%,5%,6%,9%,6%,5%,6%,6%,7%,7%,5%,8%,4%,1%
470501,"4,317",75,"4,242","4,172","1,961",93,9,"2,099",0,10,70,6723,6183,540,4400,198,296,291,234,111,253,512,963,432,295,169,102,117,80,214,63,65,124,79,92%,8%,2%,98%,97%,45%,2%,0%,49%,0%,0%,2%,5%,7%,7%,5%,3%,6%,12%,22%,10%,7%,4%,2%,3%,2%,5%,1%,2%,3%,2%
470502,"3,011",74,"2,937","2,853","2,590",103,0,153,0,7,84,4077,3888,189,2814,78,134,36,213,95,7,174,183,320,66,230,35,205,288,353,179,126,117,220,95%,5%,2%,98%,95%,86%,3%,0%,5%,0%,0%,3%,3%,4%,1%,7%,3%,0%,6%,6%,11%,2%,8%,1%,7%,10%,12%,6%,4%,4%,7%
473401,"3,731",118,"3,613","3,456","3,219",78,2,146,0,11,157,5022,4737,285,3831,158,137,278,368,364,76,147,227,246,402,244,318,282,263,212,149,74,44,0,94%,6%,3%,97%,93%,86%,2%,0%,4%,0%,0%,4%,4%,4%,7%,10%,10%,2%,4%,6%,7%,11%,7%,9%,8%,7%,6%,4%,2%,1%,0%
473402,"3,678",110,"3,568","3,415","3,178",51,0,168,3,15,153,4764,4458,306,3810,230,128,383,306,205,95,78,149,174,645,202,232,228,309,131,263,95,106,81,94%,6%,3%,97%,93%,86%,1%,0%,5%,0%,0%,4%,6%,3%,10%,8%,6%,3%,2%,4%,5%,18%,5%,6%,6%,8%,4%,7%,3%,3%,2%
