"﻿STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE"
"42,003,464300,3391,+40.444828,-080.069062"
"42,003,464400,3208,+40.470524,-080.060040"
"42,003,465600,2494,+40.438395,-080.067936"
"42,003,465800,3605,+40.431365,-080.068737"
"42,003,468700,1670,+40.413182,-080.089593"
"42,003,468800,2553,+40.405925,-080.094496"
"42,003,468900,3911,+40.403869,-080.081189"
"42,003,469000,4941,+40.416072,-080.051955"
"42,003,470300,4317,+40.380283,-080.081319"
"42,003,470400,3068,+40.367413,-080.085313"
"42,003,470501,4317,+40.398395,-080.058636"
"42,003,470502,3011,+40.401141,-080.068584"
"42,003,470600,2936,+40.396063,-080.087501"
"42,003,471000,1288,+40.391575,-080.091587"
"42,003,472100,2395,+40.399045,-080.036178"
"42,003,472200,2224,+40.393920,-080.040575"
"42,003,472300,1849,+40.392546,-080.032724"
"42,003,472400,1776,+40.387962,-080.038009"
"42,003,473100,4963,+40.391591,-080.049656"
"42,003,473200,3294,+40.381802,-080.047665"
"42,003,473300,5771,+40.379436,-080.031144"
"42,003,473401,3731,+40.372810,-080.042871"
"42,003,473402,3678,+40.359118,-080.041899"
"42,003,473500,3788,+40.365201,-080.054870"
"42,003,473601,4136,+40.383521,-080.060370"
"42,003,473602,4714,+40.371680,-080.070468"
"42,003,474101,4460,+40.355622,-080.072569"
"42,003,474102,3901,+40.340469,-080.067292"
"42,003,474201,2634,+40.344862,-080.094579"
"42,003,474202,5363,+40.324894,-080.094598"
"42,003,474203,4802,+40.313796,-080.078825"
"42,003,475101,4977,+40.347255,-080.040703"
"42,003,475102,1677,+40.337353,-080.034541"
"42,003,475200,5568,+40.324616,-080.055473"
"42,003,475301,4460,+40.323824,-080.033075"
"42,003,475303,4150,+40.308480,-080.045902"
"42,003,475304,5466,+40.300220,-080.049480"
"42,003,475401,4066,+40.342436,-080.014957"
"42,003,475402,3213,+40.309669,-080.025324"
"42,003,476100,4979,+40.366557,-080.025487"
"42,003,476200,3270,+40.364838,-080.014445"
"42,003,477100,3779,+40.358175,-080.005056"
"42,003,477200,4466,+40.365253,-079.993522"
"42,003,477300,6819,+40.359940,-079.973104"
"42,003,478100,4363,+40.374622,-079.980498"
"42,003,478200,5719,+40.375336,-079.973221"
"42,003,479000,1985,+40.380092,-080.015886"
"42,003,480101,5975,+40.340874,-079.981537"
"42,003,480102,3121,+40.345043,-080.000229"
"42,003,480200,3797,+40.355144,-079.964067"
"42,003,480300,3613,+40.393825,-079.968425"
"42,003,480400,5004,+40.381237,-079.954537"
"42,003,481000,3394,+40.411694,-079.986187"
"42,003,482500,1872,+40.395480,-079.913412"
"42,003,483800,2884,+40.404114,-079.907602"
"42,003,484300,3122,+40.404774,-079.897541"
"42,003,484500,5614,+40.382704,-079.904913"
"42,003,484600,2038,+40.392807,-079.901075"
"42,003,485000,1179,+40.399038,-079.888739"
"42,003,486700,2212,+40.378146,-079.857099"
"42,003,486800,1653,+40.369394,-079.852228"
"42,003,486900,1389,+40.364185,-079.850035"
"42,003,487000,1612,+40.351074,-079.890350"
"42,003,488100,2149,+40.386565,-079.886549"
"42,003,488200,3441,+40.392927,-079.878008"
"42,003,488300,2008,+40.371426,-079.893289"
