"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US420030201003017","Block 3017, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003018","Block 3018, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003019","Block 3019, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003020","Block 3020, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","5","5","0",
"1000000US420030201003021","Block 3021, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","2","2","0",
"1000000US420030201003022","Block 3022, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030201003023","Block 3023, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003024","Block 3024, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030201003025","Block 3025, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","280","95","185",
"1000000US420030201004000","Block 4000, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004001","Block 4001, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004002","Block 4002, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004003","Block 4003, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004004","Block 4004, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004005","Block 4005, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004006","Block 4006, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004007","Block 4007, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004008","Block 4008, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004009","Block 4009, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004010","Block 4010, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004011","Block 4011, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004012","Block 4012, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004013","Block 4013, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004014","Block 4014, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004015","Block 4015, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004016","Block 4016, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030201004017","Block 4017, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004018","Block 4018, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","1","0","1",
"1000000US420030201004019","Block 4019, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004020","Block 4020, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
